Date,Net Income,Operational Cash Flow,Free Cash Flow
2013/12/31,2.248,27.72,25.466
2014/12/31,3.187,39.51,38.364
2015/12/31,4.849,34.04,33.596003
2016/12/31,6.112,34.55,33.9522
2017/12/31,9.221,-35,-35.410942
2018/12/31,8.722,-10.91,-11.537984
2019/12/31,10.01,16.39,15.885915
2020/12/31,11.46,45.45,45.159819
2021/12/31,13.07,100.1,99.6865817
