Date,Revenue,COGS,Gross Profit,Selling & Promotion Expenses,Administrative Expenses,Research & Development Expenses,Net Income,% COGS,% Gross Profit,% Selling & Promotion Expenses,% Administrative Expenses,% Research & Development Expenses,% Net Income
2015/12/31,668.1,641.1,27,19.13,7.663,15.12,-76.27,95.96%,0.82%,0.58%,0.23%,0.46%,-2.32%
2016/12/31,684.3,611.8,72.49,30.22,9.268,21.04,4.916,89.41%,2.21%,0.92%,0.28%,0.64%,0.15%
2017/12/31,1146,994.7,151.5,52.32,12.16,31.51,-438.9,86.80%,4.61%,1.59%,0.37%,0.96%,-13.37%
2018/12/31,1749,1527,221.9,79.93,121,57.77,134.8,87.31%,6.76%,2.43%,3.69%,1.76%,4.11%
2019/12/31,2058,1773,285.5,103.8,31.04,74.93,101,86.15%,8.70%,3.16%,0.95%,2.28%,3.08%
2020/12/31,2459,2091,367.5,145.4,37.46,92.56,203.1,85.03%,11.19%,4.43%,1.14%,2.82%,6.19%
2021/12/31,3283,2700,582.6,209.8,47.39,131.7,192.8,82.24%,17.75%,6.39%,1.44%,4.01%,5.87%
